country,iso3,income_group,region
Aruba,ABW,HIC,Latin America & Caribbean
Andorra,AND,HIC,Europe & Central Asia
United Arab Emirates,ARE,HIC,Middle East & North Africa
Antigua and Barbuda,ATG,HIC,Latin America & Caribbean
Australia,AUS,HIC,East Asia & Pacific
Austria,AUT,HIC,Europe & Central Asia
Belgium,BEL,HIC,Europe & Central Asia
Bahrain,BHR,HIC,Middle East & North Africa
"Bahamas, The",BHS,HIC,Latin America & Caribbean
Bermuda,BMU,HIC,North America
Barbados,BRB,HIC,Latin America & Caribbean
Brunei Darussalam,BRN,HIC,East Asia & Pacific
Canada,CAN,HIC,North America
Switzerland,CHE,HIC,Europe & Central Asia
Channel Islands,CHI,HIC,Europe & Central Asia
Chile,CHL,HIC,Latin America & Caribbean
Curacao,CUW,HIC,Latin America & Caribbean
Cayman Islands,CYM,HIC,Latin America & Caribbean
Cyprus,CYP,HIC,Europe & Central Asia
Czech Republic,CZE,HIC,Europe & Central Asia
Germany,DEU,HIC,Europe & Central Asia
Denmark,DNK,HIC,Europe & Central Asia
Spain,ESP,HIC,Europe & Central Asia
Estonia,EST,HIC,Europe & Central Asia
Finland,FIN,HIC,Europe & Central Asia
France,FRA,HIC,Europe & Central Asia
Faroe Islands,FRO,HIC,Europe & Central Asia
United Kingdom,GBR,HIC,Europe & Central Asia
Gibraltar,GIB,HIC,Europe & Central Asia
Greece,GRC,HIC,Europe & Central Asia
Greenland,GRL,HIC,Europe & Central Asia
Guam,GUM,HIC,East Asia & Pacific
"Hong Kong SAR, China",HKG,HIC,East Asia & Pacific
Croatia,HRV,HIC,Europe & Central Asia
Hungary,HUN,HIC,Europe & Central Asia
Isle of Man,IMN,HIC,Europe & Central Asia
Ireland,IRL,HIC,Europe & Central Asia
Iceland,ISL,HIC,Europe & Central Asia
Israel,ISR,HIC,Middle East & North Africa
Italy,ITA,HIC,Europe & Central Asia
Japan,JPN,HIC,East Asia & Pacific
St. Kitts and Nevis,KNA,HIC,Latin America & Caribbean
"Korea, Rep.",KOR,HIC,East Asia & Pacific
Kuwait,KWT,HIC,Middle East & North Africa
Liechtenstein,LIE,HIC,Europe & Central Asia
Lithuania,LTU,HIC,Europe & Central Asia
Luxembourg,LUX,HIC,Europe & Central Asia
Latvia,LVA,HIC,Europe & Central Asia
"Macao SAR, China",MAC,HIC,East Asia & Pacific
St. Martin (French part),MAF,HIC,Latin America & Caribbean
Monaco,MCO,HIC,Europe & Central Asia
Malta,MLT,HIC,Middle East & North Africa
Northern Mariana Islands,MNP,HIC,East Asia & Pacific
Mauritius,MUS,HIC,Sub-Saharan Africa
New Caledonia,NCL,HIC,East Asia & Pacific
Netherlands,NLD,HIC,Europe & Central Asia
Norway,NOR,HIC,Europe & Central Asia
Nauru,NRU,HIC,East Asia & Pacific
New Zealand,NZL,HIC,East Asia & Pacific
Oman,OMN,HIC,Middle East & North Africa
Panama,PAN,HIC,Latin America & Caribbean
Palau,PLW,HIC,East Asia & Pacific
Poland,POL,HIC,Europe & Central Asia
Puerto Rico,PRI,HIC,Latin America & Caribbean
Portugal,PRT,HIC,Europe & Central Asia
French Polynesia,PYF,HIC,East Asia & Pacific
Qatar,QAT,HIC,Middle East & North Africa
Romania,ROU,HIC,Europe & Central Asia
Saudi Arabia,SAU,HIC,Middle East & North Africa
Singapore,SGP,HIC,East Asia & Pacific
San Marino,SMR,HIC,Europe & Central Asia
Slovak Republic,SVK,HIC,Europe & Central Asia
Slovenia,SVN,HIC,Europe & Central Asia
Sweden,SWE,HIC,Europe & Central Asia
Sint Maarten (Dutch part),SXM,HIC,Latin America & Caribbean
Seychelles,SYC,HIC,Sub-Saharan Africa
Turks and Caicos Islands,TCA,HIC,Latin America & Caribbean
Trinidad and Tobago,TTO,HIC,Latin America & Caribbean
Uruguay,URY,HIC,Latin America & Caribbean
United States,USA,HIC,North America
British Virgin Islands,VGB,HIC,Latin America & Caribbean
Virgin Islands (U.S.),VIR,HIC,Latin America & Caribbean
Afghanistan,AFG,LIC,South Asia
Burundi,BDI,LIC,Sub-Saharan Africa
Burkina Faso,BFA,LIC,Sub-Saharan Africa
Central African Republic,CAF,LIC,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,LIC,Sub-Saharan Africa
Eritrea,ERI,LIC,Sub-Saharan Africa
Ethiopia,ETH,LIC,Sub-Saharan Africa
Guinea,GIN,LIC,Sub-Saharan Africa
"Gambia, The",GMB,LIC,Sub-Saharan Africa
Guinea-Bissau,GNB,LIC,Sub-Saharan Africa
Haiti,HTI,LIC,Latin America & Caribbean
Liberia,LBR,LIC,Sub-Saharan Africa
Madagascar,MDG,LIC,Sub-Saharan Africa
Mali,MLI,LIC,Sub-Saharan Africa
Mozambique,MOZ,LIC,Sub-Saharan Africa
Malawi,MWI,LIC,Sub-Saharan Africa
Niger,NER,LIC,Sub-Saharan Africa
"Korea, Dem. People’s Rep.",PRK,LIC,East Asia & Pacific
Rwanda,RWA,LIC,Sub-Saharan Africa
Sudan,SDN,LIC,Sub-Saharan Africa
Sierra Leone,SLE,LIC,Sub-Saharan Africa
Somalia,SOM,LIC,Sub-Saharan Africa
South Sudan,SSD,LIC,Sub-Saharan Africa
Syrian Arab Republic,SYR,LIC,Middle East & North Africa
Chad,TCD,LIC,Sub-Saharan Africa
Togo,TGO,LIC,Sub-Saharan Africa
Tajikistan,TJK,LIC,Europe & Central Asia
Uganda,UGA,LIC,Sub-Saharan Africa
"Yemen, Rep.",YEM,LIC,Middle East & North Africa
Angola,AGO,LMC,Sub-Saharan Africa
Benin,BEN,LMC,Sub-Saharan Africa
Bangladesh,BGD,LMC,South Asia
Bolivia,BOL,LMC,Latin America & Caribbean
Bhutan,BTN,LMC,South Asia
Cote d'Ivoire,CIV,LMC,Sub-Saharan Africa
Cameroon,CMR,LMC,Sub-Saharan Africa
"Congo, Rep.",COG,LMC,Sub-Saharan Africa
Comoros,COM,LMC,Sub-Saharan Africa
Cabo Verde,CPV,LMC,Sub-Saharan Africa
Djibouti,DJI,LMC,Middle East & North Africa
Algeria,DZA,LMC,Middle East & North Africa
"Egypt, Arab Rep.",EGY,LMC,Middle East & North Africa
"Micronesia, Fed. Sts.",FSM,LMC,East Asia & Pacific
Ghana,GHA,LMC,Sub-Saharan Africa
Honduras,HND,LMC,Latin America & Caribbean
India,IND,LMC,South Asia
Kenya,KEN,LMC,Sub-Saharan Africa
Kyrgyz Republic,KGZ,LMC,Europe & Central Asia
Cambodia,KHM,LMC,East Asia & Pacific
Kiribati,KIR,LMC,East Asia & Pacific
Lao PDR,LAO,LMC,East Asia & Pacific
Sri Lanka,LKA,LMC,South Asia
Lesotho,LSO,LMC,Sub-Saharan Africa
Morocco,MAR,LMC,Middle East & North Africa
Moldova,MDA,LMC,Europe & Central Asia
Myanmar,MMR,LMC,East Asia & Pacific
Mongolia,MNG,LMC,East Asia & Pacific
Mauritania,MRT,LMC,Sub-Saharan Africa
Nigeria,NGA,LMC,Sub-Saharan Africa
Nicaragua,NIC,LMC,Latin America & Caribbean
Nepal,NPL,LMC,South Asia
Pakistan,PAK,LMC,South Asia
Philippines,PHL,LMC,East Asia & Pacific
Papua New Guinea,PNG,LMC,East Asia & Pacific
West Bank and Gaza,PSE,LMC,Middle East & North Africa
Senegal,SEN,LMC,Sub-Saharan Africa
Solomon Islands,SLB,LMC,East Asia & Pacific
El Salvador,SLV,LMC,Latin America & Caribbean
Sao Tome and Principe,STP,LMC,Sub-Saharan Africa
Eswatini,SWZ,LMC,Sub-Saharan Africa
Timor-Leste,TLS,LMC,East Asia & Pacific
Tunisia,TUN,LMC,Middle East & North Africa
Tanzania,TZA,LMC,Sub-Saharan Africa
Ukraine,UKR,LMC,Europe & Central Asia
Uzbekistan,UZB,LMC,Europe & Central Asia
Vietnam,VNM,LMC,East Asia & Pacific
Vanuatu,VUT,LMC,East Asia & Pacific
Zambia,ZMB,LMC,Sub-Saharan Africa
Zimbabwe,ZWE,LMC,Sub-Saharan Africa
Albania,ALB,UMC,Europe & Central Asia
Argentina,ARG,UMC,Latin America & Caribbean
Armenia,ARM,UMC,Europe & Central Asia
American Samoa,ASM,UMC,East Asia & Pacific
Azerbaijan,AZE,UMC,Europe & Central Asia
Bulgaria,BGR,UMC,Europe & Central Asia
Bosnia and Herzegovina,BIH,UMC,Europe & Central Asia
Belarus,BLR,UMC,Europe & Central Asia
Belize,BLZ,UMC,Latin America & Caribbean
Brazil,BRA,UMC,Latin America & Caribbean
Botswana,BWA,UMC,Sub-Saharan Africa
China,CHN,UMC,East Asia & Pacific
Colombia,COL,UMC,Latin America & Caribbean
Costa Rica,CRI,UMC,Latin America & Caribbean
Cuba,CUB,UMC,Latin America & Caribbean
Dominica,DMA,UMC,Latin America & Caribbean
Dominican Republic,DOM,UMC,Latin America & Caribbean
Ecuador,ECU,UMC,Latin America & Caribbean
Fiji,FJI,UMC,East Asia & Pacific
Gabon,GAB,UMC,Sub-Saharan Africa
Georgia,GEO,UMC,Europe & Central Asia
Equatorial Guinea,GNQ,UMC,Sub-Saharan Africa
Grenada,GRD,UMC,Latin America & Caribbean
Guatemala,GTM,UMC,Latin America & Caribbean
Guyana,GUY,UMC,Latin America & Caribbean
Indonesia,IDN,UMC,East Asia & Pacific
"Iran, Islamic Rep.",IRN,UMC,Middle East & North Africa
Iraq,IRQ,UMC,Middle East & North Africa
Jamaica,JAM,UMC,Latin America & Caribbean
Jordan,JOR,UMC,Middle East & North Africa
Kazakhstan,KAZ,UMC,Europe & Central Asia
Lebanon,LBN,UMC,Middle East & North Africa
Libya,LBY,UMC,Middle East & North Africa
St. Lucia,LCA,UMC,Latin America & Caribbean
Maldives,MDV,UMC,South Asia
Mexico,MEX,UMC,Latin America & Caribbean
Marshall Islands,MHL,UMC,East Asia & Pacific
North Macedonia,MKD,UMC,Europe & Central Asia
Montenegro,MNE,UMC,Europe & Central Asia
Malaysia,MYS,UMC,East Asia & Pacific
Namibia,NAM,UMC,Sub-Saharan Africa
Peru,PER,UMC,Latin America & Caribbean
Paraguay,PRY,UMC,Latin America & Caribbean
Russian Federation,RUS,UMC,Europe & Central Asia
Serbia,SRB,UMC,Europe & Central Asia
Suriname,SUR,UMC,Latin America & Caribbean
Thailand,THA,UMC,East Asia & Pacific
Turkmenistan,TKM,UMC,Europe & Central Asia
Tonga,TON,UMC,East Asia & Pacific
Turkey,TUR,UMC,Europe & Central Asia
Tuvalu,TUV,UMC,East Asia & Pacific
St. Vincent and the Grenadines,VCT,UMC,Latin America & Caribbean
"Venezuela, RB",VEN,UMC,Latin America & Caribbean
Samoa,WSM,UMC,East Asia & Pacific
Kosovo,XKX,UMC,Europe & Central Asia
South Africa,ZAF,UMC,Sub-Saharan Africa
